cnae_code,cnae_text,risk_tier,base_weight,sanitary_risk,fire_risk,environmental_risk,notes,source,is_active
01.11-3-01,Cultivo de arroz,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.11-3-02,Cultivo de milho,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.11-3-99,Cultivo de outros cereais não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.12-1-99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.13-0-00,Cultivo de cana-de-açúcar,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.15-6-00,Cultivo de soja,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.16-4-02,Cultivo de girassol,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.19-9-05,Cultivo de feijão,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.42-3-00,Produção de mudas e outras formas de propagação vegetal  certificadas,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.51-2-01,Criação de bovinos para corte,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.51-2-02,Criação de bovinos para leite,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.51-2-03,Criação de bovinos  exceto para corte e leite,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.52-1-02,Criação de equinos,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.52-1-03,Criação de asininos e muares,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.53-9-02,Criação de ovinos  inclusive para produção de lã,LOW,10,LOW,LOW,LOW,,bootstrap,true
01.61-0-03,Serviço de preparação de terreno  cultivo e colheita,LOW,10,LOW,LOW,LOW,,bootstrap,true
03.22-1-01,Criação de peixes em água doce,LOW,10,LOW,LOW,LOW,,bootstrap,true
10.13-9-01,Fabricação de produtos de carne,HIGH,55,HIGH,MEDIUM,MEDIUM,,calibrated_v1,true
10.66-0-00,Fabricação de alimentos para animais,LOW,10,LOW,LOW,LOW,,bootstrap,true
10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,MEDIUM,30,MEDIUM,LOW,LOW,,calibrated_v1,true
10.96-1-00,Fabricação de alimentos e pratos prontos,HIGH,45,HIGH,MEDIUM,LOW,,calibrated_v1,true
11.21-6-00,Fabricação de águas envasadas,LOW,10,LOW,LOW,LOW,,bootstrap,true
14.12-6-01,Confecção de peças do vestuário  exceto roupas íntimas e as confeccionadas sob medida,LOW,10,LOW,LOW,LOW,,bootstrap,true
14.12-6-02,Confecção  sob medida  de peças do vestuário  exceto roupas íntimas,LOW,10,LOW,LOW,LOW,,bootstrap,true
14.12-6-03,Facção de peças do vestuário  exceto roupas íntimas,LOW,10,LOW,LOW,LOW,,bootstrap,true
16.22-6-02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,LOW,10,LOW,LOW,LOW,,bootstrap,true
18.13-0-01,Impressão de material para uso publicitário,LOW,10,LOW,LOW,LOW,,bootstrap,true
18.13-0-99,Impressão de material para outros usos,LOW,10,LOW,LOW,LOW,,bootstrap,true
23.30-3-01,Fabricação de estruturas pré-moldadas de concreto armado  em série e sob encomenda,LOW,10,LOW,LOW,LOW,,bootstrap,true
23.42-7-02,Fabricação de artefatos de cerâmica e barro cozido para uso na construção  exceto azulejos e pisos,LOW,10,LOW,LOW,LOW,,bootstrap,true
23.91-5-03,Aparelhamento de placas e execução de trabalhos em mármore  granito  ardósia e outras pedras,LOW,10,LOW,LOW,LOW,,bootstrap,true
25.11-0-00,Fabricação de estruturas metálicas,LOW,10,LOW,LOW,LOW,,bootstrap,true
25.39-0-01,Serviços de usinagem  torneiria e solda,LOW,10,LOW,LOW,LOW,,bootstrap,true
25.39-0-02,Serviços de tratamento e revestimento em metais,LOW,10,LOW,LOW,LOW,,bootstrap,true
28.22-4-02,Fabricação de máquinas  equipamentos e aparelhos para transporte e elevação de cargas  peças e acessórios,LOW,10,LOW,LOW,LOW,,bootstrap,true
28.29-1-99,Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente  peças e acessórios,LOW,10,LOW,LOW,LOW,,bootstrap,true
28.69-1-00,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
31.01-2-00,Fabricação de móveis com predominância de madeira,LOW,10,LOW,LOW,LOW,,bootstrap,true
32.20-5-00,Fabricação de instrumentos musicais,LOW,10,LOW,LOW,LOW,,bootstrap,true
32.50-7-06,Serviços de prótese dentária,LOW,10,LOW,LOW,LOW,,bootstrap,true
32.99-0-03,Fabricação de letras  letreiros e placas de qualquer material  exceto luminosos,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.11-2-00,Manutenção e reparação de tanques  reservatórios metálicos e caldeiras  exceto para veículos,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.12-1-02,Manutenção e reparação de aparelhos e instrumentos de medida  teste e controle,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.14-7-10,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.14-7-19,Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos  bebidas e fumo,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.14-7-99,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.21-0-00,Instalação de máquinas e equipamentos industriais,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.29-5-01,Serviços de montagem de móveis de qualquer material,LOW,10,LOW,LOW,LOW,,bootstrap,true
33.29-5-99,Instalação de outros equipamentos não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
38.11-4-00,Coleta de resíduos não-perigosos,MEDIUM,30,MEDIUM,MEDIUM,MEDIUM,,calibrated_v1,true
38.21-1-00,Tratamento e disposição de resíduos não-perigosos,HIGH,50,MEDIUM,HIGH,HIGH,,calibrated_v1,true
38.32-7-00,Recuperação de materiais plásticos,LOW,10,LOW,LOW,LOW,,bootstrap,true
41.10-7-00,Incorporação de empreendimentos imobiliários,LOW,10,LOW,LOW,LOW,,bootstrap,true
41.20-4-00,Construção de edifícios,MEDIUM,35,LOW,MEDIUM,MEDIUM,,calibrated_v1,true
42.11-1-01,Construção de rodovias e ferrovias,MEDIUM,30,LOW,MEDIUM,MEDIUM,,calibrated_v1,true
42.11-1-02,Pintura para sinalização em pistas rodoviárias e aeroportos,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.12-0-00,Construção de obras-de-arte especiais,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.13-8-00,Obras de urbanização - ruas  praças e calçadas,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.22-7-01,Construção de redes de abastecimento de água  coleta de esgoto e construções correlatas  exceto obras de irrigação,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.92-8-01,Montagem de estruturas metálicas,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.92-8-02,Obras de montagem industrial,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.99-5-01,Construção de instalações esportivas e recreativas,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.11-8-01,Demolição de edifícios e outras estruturas,LOW,10,LOW,LOW,LOW,,bootstrap,true
