id,org_id,company_id,data_envio,taxa_funcionamento,taxa_publicidade,taxa_vig_sanitaria,iss,taxa_localiz_instalacao,taxa_ocup_area_publica,taxa_bombeiros,tpi,vencimento_tpi,status_taxas,raw,created_at,updated_at
915c6108-c197-4c86-adbb-36660b442b65,60b4c71e-78c4-46bc-8b24-24bb16f2a943,007b463e-5ce2-4653-b185-79b082c627f1,02/02/2026 - Pessoal; E-mail,pago,isento,isento,,isento,isento,,isento,,regular,"{""EMPRESA"": ""Innovation Producoes Artisticas LTDA"", ""CNPJ"": ""57.983.433/0001-21"", ""DATA ENVIO"": ""02/02/2026 - Pessoal e E-mail (Emanuelle e Ana Paula)"", ""TAXA FUNCIONAMENTO"": ""Pago"", ""TAXA PUBLICIDADE"": ""*"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""*"", ""VENCIMENTO TPI"": ""- Regular"", ""status_taxas"": ""Regular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_bombeiros_observacao_pendente"": null, ""tpi_observacao_pendente"": null, ""iss_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_anos_em_aberto"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 13:58:49.467667+00
ed69d2ec-26a2-4655-8e51-37a3c64f4266,60b4c71e-78c4-46bc-8b24-24bb16f2a943,013e7640-cd19-4f6d-8910-f3b1c11112f8,19/01/2026 - Pessoal,em_aberto,isento,isento,,isento,isento,isento,isento,,irregular,"{""EMPRESA"": ""Anapedras Experience LTDA"", ""CNPJ"": ""57.492.145/0001-74"", ""DATA ENVIO"": ""19/01/2026 - Pessoal"", ""TAXA FUNCIONAMENTO"": ""Em aberto"", ""TAXA PUBLICIDADE"": ""*"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""*"", ""VENCIMENTO TPI"": ""- Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_bombeiros_observacao_pendente"": null, ""tpi_observacao_pendente"": null, ""iss_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_anos_em_aberto"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 12:29:21.393857+00
238a36f6-f50c-4568-920f-e2abdad5d470,60b4c71e-78c4-46bc-8b24-24bb16f2a943,0148a338-b393-4639-afd5-e35fdf108675,,pendente,pendente,pendente,,isento,isento,,em_aberto,31/10,irregular,"{""EMPRESA"": ""Toribas Restaurante LTDA"", ""CNPJ"": ""30.635.357/0001-07"", ""DATA ENVIO"": """", ""TAXA FUNCIONAMENTO"": ""2025 e 2026 em aberto (emitido)"", ""TAXA PUBLICIDADE"": ""2025 e 2026 em aberto (emitido)"", ""TAXA VIG SANIT\u00c1RIA"": ""2024 at\u00e9 2025 em aberto"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""Em aberto desde 2023"", ""VENCIMENTO TPI"": ""31/10 Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": ""Marco disse que n\u00e3o era para mandar"", ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_observacao_pendente"": ""Marco disse que n\u00e3o era para mandar"", ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_observacao_pendente"": ""Marco disse que n\u00e3o era para mandar"", ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_observacao_pendente"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_observacao_pendente"": null, ""tpi_anos_em_aberto"": [2023, 2024, 2025, 2026], ""iss_observacao_pendente"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 17:38:03.773914+00
ef50e79a-ca7e-4c8a-b57b-7428ab74a89a,60b4c71e-78c4-46bc-8b24-24bb16f2a943,016d4cb5-9e6d-4a0d-9fe5-eb680e617081,03/02/2026 - Nº Escritório,em_aberto,em_aberto,isento,,isento,isento,,isento,,irregular,"{""EMPRESA"": ""JC Estofados LTDA"", ""CNPJ"": ""13.144.387/0001-00"", ""DATA ENVIO"": ""03/02/2026 - N\u00ba Escrit\u00f3rio"", ""TAXA FUNCIONAMENTO"": ""Em aberto"", ""TAXA PUBLICIDADE"": ""Em aberto"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""*"", ""VENCIMENTO TPI"": ""- Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_observacao_pendente"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_observacao_pendente"": null, ""tpi_anos_em_aberto"": null, ""iss_observacao_pendente"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 14:03:14.62276+00
89add6ab-c921-473c-b92b-2f8d285881bf,60b4c71e-78c4-46bc-8b24-24bb16f2a943,02e254eb-48fd-442c-8543-d9dda4040040,14/01/2026 - Pessoal,em_aberto,em_aberto,isento,,isento,isento,,pendente,31/10,irregular,"{""EMPRESA"": ""B. N. Servicos Empresariais LTDA"", ""CNPJ"": ""20.835.879/0001-07"", ""DATA ENVIO"": ""14/01/2026 - Pessoal"", ""TAXA FUNCIONAMENTO"": ""2025 e 2026 em aberto"", ""TAXA PUBLICIDADE"": ""Em aberto"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""Em aberto"", ""VENCIMENTO TPI"": ""31/10 Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_bombeiros_observacao_pendente"": null, ""tpi_observacao_pendente"": null, ""iss_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_anos_em_aberto"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 12:48:08.736899+00
3401d546-52bd-4025-8647-cc279bbe1d8c,60b4c71e-78c4-46bc-8b24-24bb16f2a943,02fe92ec-51db-427d-939d-843dc7a41615,28/01/2026 - Pessoal,0/3,isento,isento,,isento,isento,,pendente,31/08,irregular,"{""EMPRESA"": ""Gesso Honorio LTDA"", ""CNPJ"": ""25.448.061/0001-47"", ""DATA ENVIO"": ""28/01/2026 - Pessoal"", ""TAXA FUNCIONAMENTO"": ""0/3"", ""TAXA PUBLICIDADE"": ""*"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""Em aberto"", ""VENCIMENTO TPI"": ""31/08 Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_observacao_pendente"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_observacao_pendente"": null, ""tpi_anos_em_aberto"": null, ""iss_observacao_pendente"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 13:27:35.935698+00
c81590e5-4c32-4df3-94c0-99c92ed11ec6,60b4c71e-78c4-46bc-8b24-24bb16f2a943,0505aa4d-b5c8-4bce-8e78-41168b103036,03/02/2026 - Pessoal,2/3,pago,isento,,isento,isento,,pendente,31/08,irregular,"{""EMPRESA"": ""Ledra & Ledra LTDA"", ""CNPJ"": ""02.776.664/0001-72"", ""DATA ENVIO"": ""03/02/2026 - Pessoal"", ""TAXA FUNCIONAMENTO"": ""0/3"", ""TAXA PUBLICIDADE"": ""Em aberto"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""Em aberto"", ""VENCIMENTO TPI"": ""31/08 Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_observacao_pendente"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_observacao_pendente"": null, ""tpi_anos_em_aberto"": null, ""iss_observacao_pendente"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-20 12:25:12.352692+00
9639b90b-a035-4a1c-ac9a-159344ad488d,60b4c71e-78c4-46bc-8b24-24bb16f2a943,05426ef8-97e3-4bdb-a025-ed64e782adb6,28/01/2026 - Nº Escritório,em_aberto,em_aberto,isento,,isento,isento,,em_aberto,31/10 Irregular,irregular,"{""EMPRESA"": ""Corpo & Saude Firflex Colchoaria LTDA"", ""CNPJ"": ""31.676.210/0001-28"", ""DATA ENVIO"": ""28/01/2026 - N\u00ba Escrit\u00f3rio"", ""TAXA FUNCIONAMENTO"": ""Em aberto"", ""TAXA PUBLICIDADE"": ""Em aberto"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""Em aberto"", ""VENCIMENTO TPI"": ""31/10 Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_bombeiros_observacao_pendente"": null, ""tpi_observacao_pendente"": null, ""iss_observacao_pendente"": null}",2026-02-25 19:57:05.151342+00,2026-03-11 12:58:02.407837+00
98471c4d-059d-44cb-b1e5-d82fdfd2d186,60b4c71e-78c4-46bc-8b24-24bb16f2a943,0870e2a7-043b-4960-b320-c37297bd5099,10/02/2026 - Pessoal,pago,isento,isento,,isento,isento,,isento,,regular,"{""EMPRESA"": ""Via Solar Comercio E Servicos LTDA"", ""CNPJ"": ""30.597.276/0001-60"", ""DATA ENVIO"": ""10/02/2026 - Pessoal"", ""TAXA FUNCIONAMENTO"": ""Pago"", ""TAXA PUBLICIDADE"": ""*"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""*"", ""VENCIMENTO TPI"": ""- Regular"", ""status_taxas"": ""Regular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_observacao_pendente"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_observacao_pendente"": null, ""tpi_anos_em_aberto"": null, ""iss_observacao_pendente"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 19:18:49.103198+00
5474d16b-e9b4-4b42-86fd-f35a7159ccf5,60b4c71e-78c4-46bc-8b24-24bb16f2a943,09fe0315-cc10-499b-ada6-0b2a904a1494,28/01/2026 - Pessoal,0/3,isento,isento,,isento,isento,,isento,,regular,"{""EMPRESA"": ""BDA Comercio E Intermediacao De Veiculos LTDA"", ""CNPJ"": ""41.492.247/0001-50"", ""DATA ENVIO"": ""28/01/2026 - Pessoal"", ""TAXA FUNCIONAMENTO"": ""0/3"", ""TAXA PUBLICIDADE"": ""*"", ""TAXA VIG SANIT\u00c1RIA"": ""*"", ""ISS"": ""*"", ""TAXA LOCALIZ INSTALA\u00c7\u00c3O"": ""*"", ""TAXA OCUP \u00c1REA P\u00daBLICA"": ""*"", ""TAXA BOMBEIROS"": ""*"", ""TPI"": ""*"", ""VENCIMENTO TPI"": ""- Irregular"", ""status_taxas"": ""Irregular"", ""taxa_funcionamento_observacao_pendente"": null, ""taxa_publicidade_observacao_pendente"": null, ""taxa_vig_sanitaria_observacao_pendente"": null, ""taxa_localiz_instalacao_observacao_pendente"": null, ""taxa_ocup_area_publica_observacao_pendente"": null, ""taxa_bombeiros_observacao_pendente"": null, ""tpi_observacao_pendente"": null, ""iss_observacao_pendente"": null, ""taxa_funcionamento_anos_em_aberto"": null, ""taxa_publicidade_anos_em_aberto"": null, ""taxa_vig_sanitaria_anos_em_aberto"": null, ""taxa_localiz_instalacao_anos_em_aberto"": null, ""taxa_ocup_area_publica_anos_em_aberto"": null, ""taxa_bombeiros_anos_em_aberto"": null, ""tpi_anos_em_aberto"": null, ""iss_anos_em_aberto"": null}",2026-02-25 19:57:05.151342+00,2026-03-19 12:33:40.283276+00
