01.11-3-01,Cultivo de arroz
01.11-3-02,Cultivo de milho
01.11-3-99,Cultivo de outros cereais não especificados anteriormente
01.12-1-99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
01.13-0-00,Cultivo de cana-de-açúcar
01.15-6-00,Cultivo de soja
01.16-4-02,Cultivo de girassol
01.19-9-05,Cultivo de feijão
01.42-3-00,Produção de mudas e outras formas de propagação vegetal  certificadas
01.51-2-01,Criação de bovinos para corte
01.51-2-02,Criação de bovinos para leite
01.51-2-03,Criação de bovinos  exceto para corte e leite
01.52-1-02,Criação de equinos
01.52-1-03,Criação de asininos e muares
01.53-9-02,Criação de ovinos  inclusive para produção de lã
01.61-0-03,Serviço de preparação de terreno  cultivo e colheita
03.22-1-01,Criação de peixes em água doce
10.13-9-01,Fabricação de produtos de carne
10.66-0-00,Fabricação de alimentos para animais
10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria
10.96-1-00,Fabricação de alimentos e pratos prontos
11.21-6-00,Fabricação de águas envasadas
14.12-6-01,Confecção de peças do vestuário  exceto roupas íntimas e as confeccionadas sob medida
14.12-6-02,Confecção  sob medida  de peças do vestuário  exceto roupas íntimas
14.12-6-03,Facção de peças do vestuário  exceto roupas íntimas
16.22-6-02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais
18.13-0-01,Impressão de material para uso publicitário
18.13-0-99,Impressão de material para outros usos
23.30-3-01,Fabricação de estruturas pré-moldadas de concreto armado  em série e sob encomenda
23.42-7-02,Fabricação de artefatos de cerâmica e barro cozido para uso na construção  exceto azulejos e pisos
23.91-5-03,Aparelhamento de placas e execução de trabalhos em mármore  granito  ardósia e outras pedras
25.11-0-00,Fabricação de estruturas metálicas
25.39-0-01,Serviços de usinagem  torneiria e solda
25.39-0-02,Serviços de tratamento e revestimento em metais
28.22-4-02,Fabricação de máquinas  equipamentos e aparelhos para transporte e elevação de cargas  peças e acessórios
28.29-1-99,Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente  peças e acessórios
28.69-1-00,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente
31.01-2-00,Fabricação de móveis com predominância de madeira
32.20-5-00,Fabricação de instrumentos musicais
32.50-7-06,Serviços de prótese dentária
32.99-0-03,Fabricação de letras  letreiros e placas de qualquer material  exceto luminosos
33.11-2-00,Manutenção e reparação de tanques  reservatórios metálicos e caldeiras  exceto para veículos
33.12-1-02,Manutenção e reparação de aparelhos e instrumentos de medida  teste e controle
33.14-7-10,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente
33.14-7-19,Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos  bebidas e fumo
33.14-7-99,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
33.21-0-00,Instalação de máquinas e equipamentos industriais
33.29-5-01,Serviços de montagem de móveis de qualquer material
33.29-5-99,Instalação de outros equipamentos não especificados anteriormente
38.11-4-00,Coleta de resíduos não-perigosos
38.21-1-00,Tratamento e disposição de resíduos não-perigosos
38.32-7-00,Recuperação de materiais plásticos
41.10-7-00,Incorporação de empreendimentos imobiliários
41.20-4-00,Construção de edifícios
42.11-1-01,Construção de rodovias e ferrovias
42.11-1-02,Pintura para sinalização em pistas rodoviárias e aeroportos
42.12-0-00,Construção de obras-de-arte especiais
42.13-8-00,Obras de urbanização - ruas  praças e calçadas
42.22-7-01,Construção de redes de abastecimento de água  coleta de esgoto e construções correlatas  exceto obras de irrigação
42.92-8-01,Montagem de estruturas metálicas
42.92-8-02,Obras de montagem industrial
42.99-5-01,Construção de instalações esportivas e recreativas
43.11-8-01,Demolição de edifícios e outras estruturas
43.11-8-02,Preparação de canteiro e limpeza de terreno
43.12-6-00,Perfurações e sondagens
43.13-4-00,Obras de terraplenagem
43.19-3-00,Serviços de preparação do terreno não especificados anteriormente
43.21-5-00,Instalações elétricas
43.22-3-01,Instalações hidráulicas  sanitárias e de gás
43.22-3-02,Instalação e manutenção de sistemas centrais de ar condicionado  de ventilação e refrigeração
